last_name,first_name,type,state,party,twitter,govtrack_id,position
Whitfield,Ed,rep,KY,Republican,RepEdWhitfield,400431,a
Wilson,Joe,rep,SC,Republican,RepJoeWilson,400433,a
Wilson,Frederica,rep,FL,Democrat,RepWilson,412412,f
Wittman,Robert,rep,VA,Republican,RobWittman,412255,a
Womack,Steve,rep,AR,Republican,Rep_SteveWomack,412402,f
Woodall,Rob,rep,GA,Republican,,412416,a
Wyden,Ron,sen,OR,Democrat,RonWyden,300100,f
Yarmuth,John,rep,KY,Democrat,RepJohnYarmuth,412211,a
Yoder,Kevin,rep,KS,Republican,RepKevinYoder,412430,a
Young,Don,rep,AK,Republican,RepDonYoung,400440,a
Young,Todd,rep,IN,Republican,RepToddYoung,412428,f
Heller,Dean,sen,NV,Republican,SenDeanHeller,412218,f
Hahn,Janice,rep,CA,Democrat,Rep_JaniceHahn,412498,f
Amodei,Mark,rep,NV,Republican,MarkAmodeiNV2,412500,f
Bonamici,Suzanne,rep,OR,Democrat,RepBonamici,412501,f
DelBene,Suzan,rep,WA,Democrat,RepDelBene,412505,a
Massie,Thomas,rep,KY,Republican,RepThomasMassie,412503,a
Payne,Donald,rep,NJ,Democrat,RepDonaldPayne,412506,f
Schatz,Brian,sen,HI,Democrat,SenBrianSchatz,412507,a
Salmon,Matt,rep,AZ,Republican,RepMattSalmon,400606,f
Foster,Bill,rep,IL,Democrat,RepBillFoster,412257,a
Grayson,Alan,rep,FL,Democrat,,412276,f
Kirkpatrick,Ann,rep,AZ,Democrat,RepKirkpatrick,412286,f
Titus,Dina,rep,NV,Democrat,RepDinaTitus,412318,f
Cotton,Tom,sen,AR,Republican,SenTomCotton,412508,f
Sinema,Kyrsten,rep,AZ,Democrat,RepSinema,412509,f
LaMalfa,Doug,rep,CA,Republican,RepLaMalfa,412510,f
Huffman,Jared,rep,CA,Democrat,RepHuffman,412511,f
Bera,Ami,rep,CA,Democrat,RepBera,412512,f
Cook,Paul,rep,CA,Republican,RepPaulCook,412513,f
Swalwell,Eric,rep,CA,Democrat,RepSwalwell,412514,a
Valadao,David,rep,CA,Republican,RepDavidValadao,412515,a
Brownley,Julia,rep,CA,Democrat,JuliaBrownley26,412516,a
Cárdenas,Tony,rep,CA,Democrat,RepCardenas,412517,a
Ruiz,Raul,rep,CA,Democrat,CongressmanRuiz,412519,a
Takano,Mark,rep,CA,Democrat,RepMarkTakano,412520,a
Lowenthal,Alan,rep,CA,Democrat,RepLowenthal,412521,f
Vargas,Juan,rep,CA,Democrat,RepJuanVargas,412522,f
Peters,Scott,rep,CA,Democrat,RepScottPeters,412523,f
Esty,Elizabeth,rep,CT,Democrat,RepEsty,412524,f
Yoho,Ted,rep,FL,Republican,RepTedYoho,412525,f
DeSantis,Ron,rep,FL,Republican,RepDeSantis,412526,f
Murphy,Patrick,rep,FL,Democrat,RepMurphyFL,412527,a
Frankel,Lois,rep,FL,Democrat,RepLoisFrankel,412529,a
Collins,Doug,rep,GA,Republican,RepDougCollins,412531,a
Gabbard,Tulsi,rep,HI,Democrat,TulsiPress,412532,a
Duckworth,Tammy,rep,IL,Democrat,RepDuckworth,412533,a
Davis,Rodney,rep,IL,Republican,RodneyDavis,412536,a
Bustos,Cheri,rep,IL,Democrat,RepCheri,412537,f
Walorski,Jackie,rep,IN,Republican,RepWalorski,412538,a
Brooks,Susan,rep,IN,Republican,SusanWBrooks,412539,f
Messer,Luke,rep,IN,Republican,RepLukeMesser,412540,a
Barr,Garland,rep,KY,Republican,RepAndyBarr,412541,f
Warren,Elizabeth,sen,MA,Democrat,SenWarren,412542,a
Kennedy,Joseph,rep,MA,Democrat,RepJoeKennedy,412543,a
Delaney,John,rep,MD,Democrat,RepJohnDelaney,412544,a
King,Angus,sen,ME,Independent,SenAngusKing,412545,f
Kildee,Daniel,rep,MI,Democrat,RepDanKildee,412546,f
Nolan,Richard,rep,MN,Democrat,USRepRickNolan,408211,f
Wagner,Ann,rep,MO,Republican,RepAnnWagner,412548,f
