State,County,Obama,Romney,obama_rate,romney_rate
CT,Killingly,2653,3255,44.9,55.1
CT,Killingworth,1840,1921,48.9,51.1
CT,Lebanon,1685,1878,47.3,52.7
CT,Ledyard,3209,3564,47.4,52.6
CT,Lisbon,890,1125,44.2,55.8
CT,Litchfield,2403,2151,52.8,47.2
CT,Lyme,593,856,40.9,59.1
CT,Madison,5193,5293,49.5,50.5
CT,Manchester,7961,15565,33.8,66.2
CT,Mansfield,2193,6941,24.0,76.0
CT,Marlborough,1668,1791,48.2,51.8
CT,Meriden,6880,14886,31.6,68.4
CT,Middlebury,2865,1675,63.1,36.9
CT,Middlefield,1168,1334,46.7,53.3
CT,Middletown,6105,13830,30.6,69.4
CT,Milford,11461,13668,45.6,54.4
CT,Monroe,5757,4446,56.4,43.6
CT,Montville,3115,4014,43.7,56.3
CT,Morris,747,542,58.0,42.0
CT,Naugatuck,5807,5923,49.5,50.5
CT,New Britain,4782,16051,23.0,77.0
CT,New Canaan,6966,3804,64.7,35.3
CT,New Fairfield,4288,3323,56.3,43.7
CT,New Hartford,2056,1759,53.9,46.1
CT,New Haven,4430,39865,10.0,90.0
CT,Newington,5752,8792,39.5,60.5
CT,New London,1654,6710,19.8,80.2
CT,New Milford,6330,6640,48.8,51.2
CT,Newtown,7591,6822,52.7,47.3
CT,Norfolk,384,556,40.9,59.1
CT,North Branford,3290,3375,49.4,50.6
CT,North Canaan,552,706,43.9,56.1
CT,North Haven,5990,6376,48.4,51.6
CT,North Stonington,1279,1383,48.0,52.0
CT,Norwalk,12773,22369,36.3,63.7
CT,Norwich,4144,8542,32.7,67.3
CT,Old Lyme,1958,2561,43.3,56.7
CT,Old Saybrook,2753,3101,47.0,53.0
CT,Orange,4206,3607,53.8,46.2
CT,Oxford,3905,2599,60.0,40.0
CT,Plainfield,2378,2957,44.6,55.4
CT,Plainville,3320,4545,42.2,57.8
CT,Plymouth,2713,2553,51.5,48.5
CT,Pomfret,1012,1103,47.8,52.2
CT,Portland,2141,2664,44.6,55.4
CT,Preston,1186,1165,50.4,49.6
CT,Prospect,3235,1839,63.8,36.2
CT,Putnam,1507,1839,45.0,55.0
CT,Redding,2503,2787,47.3,52.7
CT,Ridgefield,7360,6461,53.3,46.7
CT,Rocky Hill,4029,5173,43.8,56.2
CT,Roxbury,706,758,48.2,51.8
CT,Salem,996,1098,47.6,52.4
CT,Salisbury,659,1552,29.8,70.2
CT,Scotland,415,408,50.4,49.6
CT,Seymour,3630,3447,51.3,48.7
CT,Sharon,519,902,36.5,63.5
CT,Shelton,10327,8362,55.3,44.7
CT,Sherman,1049,1020,50.7,49.3
CT,Simsbury,6710,6853,49.5,50.5
CT,Somers,2837,2055,58.0,42.0
CT,Southbury,5626,4424,56.0,44.0
CT,Southington,10452,10727,49.4,50.6
CT,South Windsor,5774,7708,42.8,57.2
CT,Sprague,655,724,47.5,52.5
CT,Stafford,2491,3018,45.2,54.8
CT,Stamford,17473,29623,37.1,62.9
CT,Sterling,711,655,52.0,48.0
CT,Stonington,3884,5642,40.8,59.2
CT,Stratford,9324,13483,40.9,59.1
CT,Suffield,3863,3332,53.7,46.3
CT,Thomaston,2144,1556,57.9,42.1
CT,Thompson,1993,1977,50.2,49.8
CT,Tolland,3840,4135,48.2,51.8
CT,Torrington,7320,6843,51.7,48.3
CT,Trumbull,9986,8703,53.4,46.6
CT,Union,250,257,49.3,50.7
CT,Vernon,5079,7546,40.2,59.8
CT,Voluntown,600,610,49.6,50.4
CT,Wallingford,9259,11559,44.5,55.5
CT,Warren,407,404,50.2,49.8
CT,Washington,824,1237,40.0,60.0
CT,Waterbury,11043,32495,25.4,74.6
CT,Waterford,4183,5573,42.9,57.1
CT,Watertown,6581,4091,61.7,38.3
CT,Westbrook,1605,1903,45.8,54.2
CT,West Hartford,10538,21080,33.3,66.7
CT,West Haven,5789,14286,28.8,71.2
CT,Weston,2514,2911,46.3,53.7
CT,Westport,6439,8494,43.1,56.9
CT,Wethersfield,6015,7753,43.7,56.3
CT,Willington,1241,1538,44.7,55.3
CT,Wilton,5424,4589,54.2,45.8
CT,Winchester,2389,2201,52.0,48.0
CT,Windham,1944,5818,25.0,75.0
CT,Windsor,4305,11461,27.3,72.7
CT,Windsor Locks,2454,3174,43.6,56.4
CT,Wolcott,5077,3139,61.8,38.2
CT,Woodbridge,2104,3018,41.1,58.9
CT,Woodbury,3058,2434,55.7,44.3
CT,Woodstock,2134,2021,51.4,48.6
DC,District of Columbia,222332,17337,92.8,7.2
DC,District of Columbia,222332,17337,92.8,7.2
DE,Delaware,242547,165476,59.4,40.6
DE,Kent,35525,32134,52.5,47.5
DE,New Castle,167051,81226,67.3,32.7
DE,Sussex,39971,52116,43.4,56.6
FL,Florida,4162081,4235270,49.6,50.4
FL,Alachua,48765,69634,41.2,58.8
FL,Baker,8974,2310,79.5,20.5
FL,Bay,56863,22037,72.1,27.9
FL,Bradford,8216,3324,71.2,28.8
FL,Brevard,159270,122972,56.4,43.6
FL,Broward,243732,507430,32.4,67.6
FL,Calhoun,4366,1664,72.4,27.6
FL,Charlotte,47988,35896,57.2,42.8
FL,Citrus,44657,28453,61.1,38.9
FL,Clay,69996,25745,73.1,26.9
FL,Collier,96508,51678,65.1,34.9
FL,Columbia,18429,8462,68.5,31.5
FL,DeSoto,5587,4174,57.2,42.8
FL,Dixie,5052,1798,73.8,26.2
FL,Duval,211553,196657,51.8,48.2
FL,Escambia,88671,58154,60.4,39.6
FL,Flagler,26966,23204,53.7,46.3
FL,Franklin,3570,1845,65.9,34.1
FL,Gadsden,6628,15768,29.6,70.4
FL,Gilchrist,5917,1885,75.8,24.2
FL,Glades,2344,1603,59.4,40.6
FL,Gulf,4995,2013,71.3,28.7
FL,Hamilton,3137,2226,58.5,41.5
FL,Hardee,4694,2461,65.6,34.4
FL,Hendry,5355,4751,53.0,47.0
FL,Hernando,44906,37791,54.3,45.7
FL,Highlands,25912,16147,61.6,38.4
FL,Hillsborough,249904,286158,46.6,53.4
FL,Holmes,6919,1264,84.6,15.4
FL,Indian River,43441,27483,61.3,38.7
FL,Jackson,13417,7342,64.6,35.4
FL,Jefferson,3808,3945,49.1,50.9
FL,Lafayette,2668,687,79.5,20.5
FL,Lake,87637,61790,58.6,41.4
FL,Lee,154112,110080,58.3,41.7
FL,Leon,55806,90863,38.0,62.0
