type,coordinates,location_displayname,City,State,posted_time ,epoch_time
Polygon,"-83.319904, 42.442178; -83.319904, 42.517441; -83.200639, 42.517441; -83.200639, 42.442178","Southfield, MI",Southfield, MI,12/17/14 2:22 PM,1418826120
Polygon,"-83.319904, 42.442178; -83.319904, 42.517441; -83.200639, 42.517441; -83.200639, 42.442178","Southfield, MI",Southfield, MI,12/17/14 2:57 PM,1418828223
Polygon,"-83.319904, 42.442178; -83.319904, 42.517441; -83.200639, 42.517441; -83.200639, 42.442178","Southfield, MI",Southfield, MI,12/17/14 3:01 PM,1418828511
Polygon,"-82.6398828, 28.4336714; -82.6398828, 28.534024; -82.428825, 28.534024; -82.428825, 28.4336714","Spring Hill, FL",Spring Hill, FL,12/16/14 3:37 AM,1418701026
Polygon,"-86.983702, 35.6644633; -86.983702, 35.79496; -86.867521, 35.79496; -86.867521, 35.6644633","Spring Hill, TN",Spring Hill, TN,12/16/14 4:36 PM,1418747773
Polygon,"-74.255641, 40.495865; -74.255641, 40.648887; -74.052253, 40.648887; -74.052253, 40.495865","Staten Island, NY",Staten Island, NY,12/16/14 6:21 PM,1418754088
Polygon,"-98.258745, 32.191442; -98.258745, 32.241178; -98.179505, 32.241178; -98.179505, 32.191442","Stephenville, TX",Stephenville, TX,12/16/14 5:28 PM,1418750933
Polygon,"-88.4891851, 41.747143; -88.4891851, 41.805351; -88.3753838, 41.805351; -88.3753838, 41.747143","Sugar Grove, IL",Sugar Grove, IL,12/17/14 10:04 AM,1418810692
Polygon,"-88.4891851, 41.747143; -88.4891851, 41.805351; -88.3753838, 41.805351; -88.3753838, 41.747143","Sugar Grove, IL",Sugar Grove, IL,12/17/14 10:06 AM,1418810774
Polygon,"-88.4891851, 41.747143; -88.4891851, 41.805351; -88.3753838, 41.805351; -88.3753838, 41.747143","Sugar Grove, IL",Sugar Grove, IL,12/17/14 10:08 AM,1418810899
Polygon,"-95.686106, 29.5433718; -95.686106, 29.663556; -95.5772726, 29.663556; -95.5772726, 29.5433718","Sugar Land, TX",Sugar Land, TX,12/17/14 2:41 PM,1418827287
Polygon,"-82.620093, 27.821353; -82.620093, 28.171836; -82.2652945, 28.171836; -82.2652945, 27.821353","Tampa, FL",Tampa, FL,12/16/14 12:21 PM,1418732498
Polygon,"-82.620093, 27.821353; -82.620093, 28.171836; -82.2652945, 28.171836; -82.2652945, 27.821353","Tampa, FL",Tampa, FL,12/16/14 5:37 PM,1418751424
